sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-015639-001,COBRA,LPS,90,120,-117.2366721,32.87157618,GILMAN DR @ L J VLG DR ON E/B ON RAMP
SS-015639-002,COBRA,LPS,90,120,-117.2347373,32.87396668,
SS-015629-001,COBRA,LPS,90,120,-117.2355207,32.87152421,
SS-015628-001,COBRA,HPS,90,120,-117.2351594,32.87155309,
,COBRA,LPS,180,120,-117.2110909,32.8911103,
SS-025270-002,COBRA,LPS,180,120,-117.2186701,32.89671912,SORRENTO VLY RD S/O ARBUTUS ST 800' E/S
SS-025270-003,COBRA,LPS,180,120,-117.2182872,32.89630064,SORRENTO VLY RD S/O ARBUTUS ST 1000' E/S
SS-010710-001,COBRA,IND,165,120,-117.2158474,32.87498211,EXECUTIVE DR @ REGENTS PK ROW SE
SS-022987-007,COBRA,IND,135,120,-117.218446,32.87964974,
SS-012134-001,COBRA,IND,165,120,-117.2374222,32.86752762,GILMAN DR N/O VILLA L J DR 1264'
SS-012132-002,COBRA,LPS,130,120,-117.2383498,32.87049392,
SS-012132-003,COBRA,LPS,90,120,-117.238353,32.86979297,
,BALLPARK LIGHTIING,,0,,-117.2204921,32.8638854,
,BALLPARK LIGHTIING,,0,,-117.2203023,32.86365102,
,BALLPARK LIGHTIING,,0,,-117.219685,32.86374267,
BP-000728-002,BALLPARK LIGHTIING,,0,,-117.2204161,32.86452134,
,SHOEBOX,,0,,-117.2205366,32.86417866,
SS-025270-001,COBRA,IND,85,120,-117.2180482,32.89599331,CS SORRENTO VALLEY RD S/O ARBITUS ST 1125'
,COBRA,IND,165,120,-117.2161332,32.87499437,CS EXECUTIVE DR @ REGENTS PARK RW SW
,COBRA,IND,165,120,-117.2161466,32.87524442,CS EXECUTIVE DR REGENTS PARK RW
BD-001261-001,SHOEBOX,UNKNOWN,0,,-117.2155202,32.87634541,
BD-001261-013,SHOEBOX,UNKNOWN,0,,-117.2149588,32.87638256,
BD-001261-009,COBRA DOUBLE HEAD,,0,,-117.2149132,32.87648393,
BP-000728-005,SHOEBOX,,0,,-117.2208959,32.8636695,
BP-000728-006,SHOEBOX,,0,,-117.2203813,32.86360685,
BP-000728-007,SHOEBOX,LPS,180,,-117.2198397,32.86365159,
BP-000728-017,SHOEBOX,,0,,-117.2169168,32.86468281,
BP-000728-016,SHOEBOX,,0,,-117.2170721,32.8644064,
BP-000728-015,SHOEBOX,,0,,-117.2174774,32.8643438,
BP-000728-014,SHOEBOX,,0,,-117.2178292,32.86469698,
BP-000728-013,SHOEBOX,,0,,-117.2183893,32.86479018,
BP-000728-011,SHOEBOX,,0,,-117.2184911,32.8650748,
BP-000728-010,SHOEBOX,,0,,-117.2188554,32.86540494,
BP-000728-009,SHOEBOX,,0,,-117.219408,32.86539986,
,BALLPARK LIGHTIING,,,,-117.2192974,32.86535654,
,BALLPARK LIGHTIING,,,,-117.2199222,32.86535922,
BP-000728-008,SHOEBOX,,0,,-117.2198945,32.86546518,
BP-000728-027,SHOEBOX,,0,,-117.2203858,32.86540088,
